"","x"
"393",7611.49462836488
"394",5153.2458811672
"395",6003.36933383564
"396",5401.54398795693
"397",5023.87219076461
"398",5394.01217135091
"399",6162.08621635071
"400",6283.14914864354
"401",3649.67094058587
"402",6494.51160970063
"403",5158.41002339996
"404",9604.47922358208
"405",5621.23666550454
"406",4822.91336477776
"407",8362.41556266902
"408",3398.32310681925
"409",7257.8402316421
"410",5480.87779220696
"411",5438.2318572291
"412",5737.52654507606
"413",4604.15686637033
"414",5624.8471384589
"415",4759.35006887447
"416",4832.21902977849
"417",2830.57824895564
"418",4693.78326052681
"419",5735.54654355258
"420",5703.20139487883
"421",4965.71934273119
"422",4937.48488118478
"423",6509.76573612372
"424",4545.06992042633
"425",3471.31889078359
"426",4673.39287400533
"427",7871.47983142642
"428",6490.12219072931
"429",10736.2823642532
"430",3189.31803404864
"431",6715.06729891729
"432",5314.48806099219
"433",3756.98952567412
"434",4613.64692871501
"435",4274.55146019972
"436",4483.7705416536
"437",3565.4021664564
"438",5734.04370323985
"439",5969.08516466937
"440",6401.3739095074
"441",5278.88262425988
"442",6539.13110992765
"443",6490.87405648038
"444",4354.89925132367
"445",6680.14667586132
"446",7936.56491297186
"447",4759.35006887447
"448",4118.69156921007
"449",4792.80092993824
"450",5578.72908891114
"451",3878.03829908836
"452",7982.5032527217
"453",7014.03294586829
"454",6170.85607774106
"455",4462.73871489888
"456",4173.72033349916
"457",5584.62889419305
"458",4229.24318214151
"459",6133.07074491621
"460",4771.82465176907
"461",4585.00018908639
"462",3911.96693183644
"463",3938.04079129178
"464",8862.5253597599
"465",6139.31606839178
"466",4696.69963528717
"467",7834.60045217034
"468",4283.65857227204
"469",4953.06808945616
"470",5018.7530161593
"471",5294.13862782088
"472",3670.48762006726
"473",5902.36444090186
"474",5267.14835350144
"475",10340.2326939462
"476",5148.11815045562
"477",3997.31396773124
"478",5226.23138129535
"479",3814.83847655426
"480",5754.94093905629
"481",5518.34547564607
"482",5923.84760677519
"483",4148.7225118708
"484",3398.32310681925
"485",6274.0825495814
"486",7007.38469769549
